0.000000000000000000e+00 3.084677419354838745e-01 7.595818815331010221e-01
0.000000000000000000e+00 2.459677419354838745e-01 7.632597754548974267e-01
0.000000000000000000e+00 1.491935483870967527e-01 7.516453735965931138e-01
0.000000000000000000e+00 2.157258064516128782e-01 7.504839334107626936e-01
0.000000000000000000e+00 5.342741935483874549e-02 7.559039876113047285e-01
0.000000000000000000e+00 5.241935483870963086e-02 7.644212156407278469e-01
7.680991095625242515e-01 -1.008064516129036914e-02 7.680991095625242515e-01
7.760356174990321598e-01 -4.133064516129036914e-02 7.760356174990321598e-01
0.000000000000000000e+00 -1.381048387096773800e-01 7.522260936895083239e-01
0.000000000000000000e+00 -1.381048387096773800e-01 7.400309717382888008e-01
0.000000000000000000e+00 -1.703629032258064946e-01 7.442895857530003045e-01
